Case.Number,Time,Date,Location,Accident.Type,Tickets
B7-001408,2017-01-05T21:33:00Z,2017-01-05T06:00:00Z,20TH ST / A ST ; SWC,No report,NA
B7-001421,2017-01-05T22:30:00Z,2017-01-05T06:00:00Z,S 10 at PARK AV,NA,NA
B7-001422,2017-01-05T22:52:00Z,2017-01-05T06:00:00Z,GARA GREEN 2 @530 P ST ; SS,No report,NA
B7-001423,2017-01-05T22:57:00Z,2017-01-05T06:00:00Z,I 180 bet CORNHUSKER and R,NA,B7-001423
B7-001424,2017-01-05T23:05:00Z,2017-01-05T06:00:00Z,S 27 at J,NA,B7-001424
B7-001440,2017-01-06T00:52:00Z,2017-01-06T06:00:00Z,CENTENNIAL MALL bet O and P,NA,B7-001440
B7-001469,2017-01-06T06:39:00Z,2017-01-06T06:00:00Z,NW 7 at W SAUNDERS,NA,NA
B7-001472,2017-01-06T07:10:00Z,2017-01-06T06:00:00Z,EMILY LN bet JACOBS CREEK DR and S 25,NA,NA
B7-001478,2017-01-06T07:53:00Z,2017-01-06T06:00:00Z,ST PAUL at N 57,NA,NA
B7-001479,2017-01-06T07:55:00Z,2017-01-06T06:00:00Z,LEXINGTON bet N 84 and N 86,INJURY,NA
B7-001481,2017-01-06T08:20:00Z,2017-01-06T06:00:00Z,BRIARPARK bet HALLCLIFFE RD and RENTWORTH DR,NA,B7-001481
B7-001482,2017-01-06T08:24:00Z,2017-01-06T06:00:00Z,PHARES DR bet LUCILLE and S 76,NA,B7-001482
B7-001483,2017-01-06T08:28:00Z,2017-01-06T06:00:00Z,G bet S 10 and S 9,INJURY,NA
B7-001484,2017-01-06T08:37:00Z,2017-01-06T06:00:00Z,NW 4 bet W DAWES and W SAUNDERS,NA,B7-001484
B7-001485,2017-01-06T08:30:00Z,2017-01-06T06:00:00Z,S 42 bet FRANKLIN and SUMNER,NA,B7-001485
B7-001488,2017-01-06T08:57:00Z,2017-01-06T06:00:00Z,OLD CHENEY bet S 56 and S 58,NA,B7-001488
B7-001489,2017-01-06T09:00:00Z,2017-01-06T06:00:00Z,FOLKWAYS bet ENTERPRISE and N 27,NA,B7-001489
B7-001492,2017-01-06T09:16:00Z,2017-01-06T06:00:00Z,CALVERT bet S 48 and S 49,NA,B7-001492
B7-001493,2017-01-06T00:00:00Z,2017-01-06T06:00:00Z,at 2500 JAMIE LANE,H&R,NA
B7-001494,2017-01-06T00:00:00Z,2017-01-06T06:00:00Z,at UNKNOWN,H&R,NA
B7-001510,2017-01-06T10:55:00Z,2017-01-06T06:00:00Z,SOUTH bet LAWNSDALE and S 70,NA,B7-001510
